names,prices,reviews,reviews_rate,company
Bridgerton Bouquet Blush & Highlighter Duo,25.99,11.0,80.0,kiko
Dreamphoria All-In-Glow 3In1 Luminizer,16.99,0.0,,kiko
Dreamphoria Color Reveal Ph Blush,14.99,0.0,,kiko
Dreamphoria Heavenly Skin Blush,18.99,0.0,,kiko
Gloss Supreme Layering Matt&Glow Duo Blush,18.99,13.0,95.0,kiko
Golden Oasis Glow Cushion Blush,16.99,1.0,40.0,kiko
Green Me Blush,12.49,66.0,80.0,kiko
Smart Colour Blush,7.99,280.0,90.0,kiko
Street Heart Cheeky Flush Liquid Blush,16.99,2.0,100.0,kiko
Unlimited Blush,11.49,220.0,90.0,kiko
Velvet Touch Creamy Stick Blush,11.49,295.0,90.0,kiko
Glow Play Cushiony Blush,22.4,584.0,93.4,M.A.C
Mineralize Blush,22.4,212.0,86.2,M.A.C
Extra Dimension Blush,22.4,62.0,93.2,M.A.C
Powder Blush,22.4,584.0,91.8,M.A.C
Sheertone Blush,22.4,584.0,91.8,M.A.C
Sheertone Shimmer Blush,22.4,584.0,91.8,M.A.C
Cream Colour Base,26.0,111.0,90.0,M.A.C
Pro Face Palette: Blush,25.6,10.0,100.0,M.A.C
Totally Lovestruck,32.0,0.0,,colourpop
Cupid Called,32.0,0.0,,colourpop
Heart to Heart,32.0,0.0,,colourpop
Current Crush,32.0,0.0,,colourpop
Liquid Blush,10.0,37.0,98.0,colourpop
Instant Crush Lip & Cheek Balm,10.0,6.0,100.0,colourpop
Heart Blush,12.0,301.0,98.0,colourpop
Super Shock Blush,4.5,87.0,96.0,colourpop
Instant Crush Lip & Cheek Balm,10.0,4.0,100.0,colourpop
Instant Crush Lip & Cheek Balm,10.0,6.0,100.0,colourpop
Just A Flush,8.4,75.0,96.0,colourpop
Blush Stix,10.0,53.0,98.0,colourpop
Instant Crush Cream Blush,12.0,41.0,100.0,colourpop
Pressed Powder Blush,12.0,47.0,98.0,colourpop
Bankroll,5.0,29.0,98.0,colourpop
Pressed Powder Blush Single,10.0,14.0,98.0,colourpop
Pokemon Cream Blush,14.0,63.0,96.0,colourpop
Byers,14.0,40.0,98.0,colourpop
Electrifying Dreams,38.0,0.0,,colourpop
