names,prices,reviews,reviews_rate,company
Daring Look Eye Marker,11.49,34.0,95.0,kiko
Definition Eyeliner,10.49,0.0,,kiko
Definition Waterproof Eyeliner,10.49,281.0,95.0,kiko
Glitter Eyeliner,10.99,28.0,90.0,kiko
Gold Reflections 10H Wear Graphic Eyeliner & Kajal,11.49,38.0,85.0,kiko
Gold Reflections 48H Wear Waterproof Eye Marker,12.99,40.0,90.0,kiko
Golden Oasis Precision Eyeliner Jet Black,10.99,0.0,,kiko
Holiday Wonderlights Twinkling Liquid Eyeliner,13.99,18.0,95.0,kiko
Intense Colour Long Lasting Eyeliner,7.99,528.0,95.0,kiko
Lasting Gel Eyeliner,11.49,4.0,80.0,kiko
Lasting Precision Automatic Eyeliner And Khôl,10.49,291.0,95.0,kiko
Micro Tip Eyeliner,11.49,0.0,,kiko
Precision Eyeliner,10.49,367.0,95.0,kiko
Street Heart Chroma Pop Graphic Eyeliner,12.99,8.0,95.0,kiko
Street Heart On Point! 48H Long Lasting Eyeliner,12.99,0.0,,kiko
Super Colour Waterproof Eyeliner,9.99,120.0,85.0,kiko
Ultimate Pen Eyeliner,11.49,97.0,85.0,kiko
Ultimate Pen Waterproof Eyeliner,11.49,0.0,,kiko
Unlimited Precision Automatic Eyeliner & Khol,10.49,167.0,95.0,kiko
Winged Eyeliner,10.99,0.0,,kiko
Colour Excess Gel Pencil Eyeliner,22.0,724.0,89.4,M.A.C
Liquidlast 24-Hour Waterproof Eyeliner,22.0,643.0,87.4,M.A.C
Brushstroke 24-Hour Liner,22.0,504.0,84.4,M.A.C
Eye Kohl,20.0,520.0,86.0,M.A.C
Pro Longwear Fluidline Eyeliner And Brow Gel,20.0,498.0,85.8,M.A.C
Eye Pencil,20.0,38.0,75.8,M.A.C
Chromagraphic Pencil,20.0,61.0,78.0,M.A.C
Chromaline,22.0,36.0,84.4,M.A.C
Mixing Medium Eyeliner,20.0,15.0,96.0,M.A.C
Chrome Creme Gel Liner,9.0,188.0,98.0,colourpop
Creme Gel Liner,8.0,190.0,98.0,colourpop
BFF Liquid Liner,9.0,563.0,98.0,colourpop
Good Shift,20.0,0.0,,colourpop
Bratz BFF Liquid Liner,10.0,11.0,92.0,colourpop
Twilight Graphix Ink Liner,10.0,63.0,98.0,colourpop
Harry Potter Graphix Ink Liner,6.0,62.0,98.0,colourpop
Mariale Graphix Ink Liner,4.0,34.0,98.0,colourpop
Graphix Ink Liner,5.0,42.0,96.0,colourpop
The Total Package,99.0,26.0,96.0,colourpop
Tried and True,40.0,31.0,98.0,colourpop
Just a Fling,40.0,34.0,98.0,colourpop
Real Big Energy,,79.0,98.0,colourpop
It's a Vibe,59.0,18.0,94.0,colourpop
Noble History,24.0,75.0,94.0,colourpop
