names,prices,reviews,reviews_rate,company
Bridgerton Gilded Glaze Shimmering Cream Eyeshadow,18.99,41.0,90.0,kiko
Bright Duo Eyeshadow,9.99,52.0,85.0,kiko
Cool Colour Eyeshadow Stick,10.99,61.0,80.0,kiko
Days In Bloom Metamorphic Eyeshadow,10.99,11.0,95.0,kiko
Dreamphoria Forever Mate Duet Eyeshadow,14.99,0.0,,kiko
Glitter Shower Eyeshadow,9.99,291.0,95.0,kiko
Golden Oasis Radiant Eyeshadow,13.99,0.0,,kiko
Green Me Duo Eyeshadow,10.99,16.0,85.0,kiko
High Pigment Eyeshadow,7.49,289.0,95.0,kiko
Holiday Première Daring Duo Eyeshadow,14.99,52.0,80.0,kiko
Holiday Première Metallic Eyeshadow,13.99,34.0,90.0,kiko
Holiday Wonderlights Metallic Magnitude Eyeshadow,13.99,46.0,95.0,kiko
Lasting Mousse Eyeshadow,9.99,49.0,85.0,kiko
Long Lasting Liquid Eyeshadow,9.99,34.0,95.0,kiko
Magnetic Nights Lights On Eyeshadow,16.99,27.0,85.0,kiko
Magnetic Nights Midnight Glam Kajal & Eyeshadow,16.99,10.0,85.0,kiko
New Long Lasting Eyeshadow Stick,9.99,802.0,90.0,kiko
New Water Eyeshadow,11.99,301.0,90.0,kiko
Perfect Eyes Duo Highlighter Pencil,10.49,0.0,,kiko
Perfect Eyes Duo Highlighter Pencil,10.49,6.0,95.0,kiko
Smart Colour Eyeshadow,4.99,551.0,95.0,kiko
Street Heart Eye Paints Liquid Eyeshadow,13.99,4.0,85.0,kiko
Water Eyeshadow,11.99,241.0,95.0,kiko
Water Eyeshadow Chrome Tech,12.99,103.0,95.0,kiko
Dazzleshadow Liquid / Luxe Luck,22.0,5.0,100.0,M.A.C
Connect In Colour Eyeshadow Palette - Intimate Nudes,32.0,0.0,,M.A.C
Eyeshadow,20.0,1007.0,93.2,M.A.C
Dazzleshadow,22.0,189.0,92.8,M.A.C
Connect In Colour Eyeshadow Palette: Unfiltered Nudes,46.0,170.0,95.0,M.A.C
Connect In Colour Eyeshadow Palette: Encrypted Kryptonite,32.0,83.0,92.2,M.A.C
Connect In Colour Eyeshadow Palette: Embedded in Burgundy,32.0,91.0,95.6,M.A.C
Connect In Colour Eyeshadow Palette: Rose Lens,32.0,375.0,96.8,M.A.C
Dazzleshadow Liquid,22.0,336.0,89.8,M.A.C
Extra Dimension Eyeshadow,22.0,94.0,94.0,M.A.C
Eyeshadow / Pro Palette Refill Pan,15.0,752.0,94.8,M.A.C
Dazzleshadow Extreme Eyeshadow,22.0,180.0,89.4,M.A.C
Powder Kiss Soft Matte Eyeshadow,20.0,45.0,94.2,M.A.C
Pro Longwear Paint Pot,22.0,847.0,92.2,M.A.C
Connect In Colour Eyeshadow Palette: Future Flame,46.0,100.0,93.4,M.A.C
Connect In Colour Eyeshadow Palette: Bronze Influence,32.0,74.0,91.8,M.A.C
Pigment,20.0,243.0,94.0,M.A.C
Connect In Colour Eyeshadow Palette: Hi-Fi Colour,46.0,72.0,93.8,M.A.C
Super Shock Shadow,7.0,416.0,98.0,colourpop
Shadow Stix,5.0,71.0,100.0,colourpop
Chrome Liquid Eyeshadow,12.0,84.0,98.0,colourpop
Jelly Much Shadow,9.0,1885.0,98.0,colourpop
Pressed Powder Shadow,5.0,180.0,98.0,colourpop
Love Triangle,32.0,29.0,100.0,colourpop
New Moon Multichrome Shadow Stix,12.0,16.0,98.0,colourpop
New Moon Multichrome Shadow Stix,12.0,13.0,98.0,colourpop
New Moon Multichrome Shadow Stix,12.0,16.0,96.0,colourpop
Bloodsuckers,15.0,18.0,98.0,colourpop
New Moon Super Shock Shadow,9.0,26.0,100.0,colourpop
New Moon Super Shock Shadow,9.0,8.0,96.0,colourpop
The Supers,,41.0,100.0,colourpop
Fresh Like Me,,101.0,98.0,colourpop
Get Lit,21.0,0.0,,colourpop
Ghouls Night Out,44.0,0.0,,colourpop
Totally Wicked,21.0,0.0,,colourpop
Winx Spells,65.0,0.0,,colourpop
Crazy 4 Chrome,99.0,0.0,,colourpop
Feelin’ Bold,34.0,0.0,,colourpop
Vibe Shift,34.0,0.0,,colourpop
Drama Queen,34.0,0.0,,colourpop
Totally Jelly,115.0,0.0,,colourpop
Eerie Estate,32.0,0.0,,colourpop
New Trainer,24.0,0.0,,colourpop
