names,prices,reviews,reviews_rate,company
Bridgerton Ballroom Beauty Satin Shine Lipstick,20.99,41.0,90.0,kiko
Create Your Balance Soft Touch Lip&Cheek,12.99,20.0,70.0,kiko
Disney - The Little Mermaid Creamy Lip Stylo,16.99,28.0,90.0,kiko
Dreamphoria Shapechanger Satin Lipstick,15.99,0.0,,kiko
Dreamphoria Tint Me Softly Lip Mousse,14.99,0.0,,kiko
Gloss Supreme Color Glaze Lip Lacquer,13.99,35.0,90.0,kiko
Gold Reflections Gleam & Care Lipstick Spf30,15.99,52.0,90.0,kiko
Golden Oasis Lips & Cheeks Tint,15.99,0.0,,kiko
Golden Oasis Unlimited Stylo Lipstick,13.99,0.0,,kiko
Gossamer Emotion Creamy Lipstick,,595.0,95.0,kiko
Green Me Lips & Cheeks,10.99,91.0,85.0,kiko
Green Me Matte Lipstick,11.49,85.0,90.0,kiko
Hydra Shiny Lip Stylo,11.99,90.0,90.0,kiko
Instant Colour Matte Liquid Lip Colour,9.99,51.0,90.0,kiko
Jelly Stylo,,451.0,95.0,kiko
Lasting Matte Veil Liquid Lip Colour,12.99,103.0,85.0,kiko
Long Lasting Colour Lip Marker,11.99,302.0,80.0,kiko
Magnetic Nights Ombre Lips Demi Matte Lipstick,16.99,49.0,80.0,kiko
Metal Liquid Lip Colour,12.99,95.0,90.0,kiko
Powder Power Lipstick,10.99,112.0,90.0,kiko
Smart Fusion Lipstick,6.49,981.0,95.0,kiko
Street Heart Vinyl Lock Lip Lacquer,16.99,8.0,80.0,kiko
Unlimited Double Touch,12.99,2002.0,95.0,kiko
Unlimited Double Touch - Limited Edition,14.99,114.0,90.0,kiko
Unlimited Stylo,11.99,279.0,80.0,kiko
Velvet Passion Matte Lipstick,11.99,1138.0,95.0,kiko
MACximal Silky Matte Lip Combo / Velvet Teddy,38.0,0.0,,M.A.C
"Lustreglass Luminous Lip Combo / Thanks, It's MAC!",38.0,0.0,,M.A.C
MACximal Silky Matte Lip Combo / Mehr,38.0,0.0,,M.A.C
MACximal Sleek Satin Lip Combo / Crème In Your Coffee,38.0,0.0,,M.A.C
